id,name,variant,price,brand,image_name,image_url,category
630006-21015_7210,Lederjacke,cocoa brown,229.0,gerry weber,lederjacke-01.jpg,https://pic.gerryweber.com/static/i/14_630006-21015_7210_01/pdmain/lederjacke-01.jpg,Jacken
630007-21211_8979,Jeansjacke,blue denim,119.99,gerry weber,jeansjacke-01.jpg,https://pic.gerryweber.com/static/i/14_630007-21211_8979_01/pdmain/jeansjacke-01.jpg,Jacken
630009-21218_1102,Jeansjacke mit Zebra-Print Organic Cotton,black gemustert,129.99,gerry weber,jeansjacke-mit-zebra-print-organic-cotton-01.jpg,https://pic.gerryweber.com/static/i/14_630009-21218_1102_01/pdmain/jeansjacke-mit-zebra-print-organic-cotton-01.jpg,Jacken
630015-21213_1100,Blazer mit doppelreihiger Knopfleiste,black,169.99,gerry weber,blazer-mit-doppelreihiger-knopfleiste-01.jpg,https://pic.gerryweber.com/static/i/14_630015-21213_1100_01/pdmain/blazer-mit-doppelreihiger-knopfleiste-01.jpg,Jacken
630018-21223_9700,Blazer aus Lyocell-Leinen-Mix,offwhite,149.99,gerry weber,blazer-aus-lyocell-leinen-mix-01.jpg,https://pic.gerryweber.com/static/i/14_630018-21223_9700_01/pdmain/blazer-aus-lyocell-leinen-mix-01.jpg,Jacken
630019-21226_5330,Eleganter Blazer,avocado green,149.99,gerry weber,eleganter-blazer-01.jpg,https://pic.gerryweber.com/static/i/14_630019-21226_5330_01/pdmain/eleganter-blazer-01.jpg,Jacken
630020-21039_5350,Leichte Jacke aus Organic Cotton,seaweed,99.99,gerry weber,leichte-jacke-aus-organic-cotton-01.jpg,https://pic.gerryweber.com/static/i/14_630020-21039_5350_01/pdmain/leichte-jacke-aus-organic-cotton-01.jpg,Jacken
630022-21227_5320,Jeansjacke aus Coloured-Denim,citronella,99.99,gerry weber,jeansjacke-aus-coloured-denim-01.jpg,https://pic.gerryweber.com/static/i/14_630022-21227_5320_01/pdmain/jeansjacke-aus-coloured-denim-01.jpg,Jacken
630023-21230_7010,Jeansjacke aus softem Lyocell,mocca brown,99.99,gerry weber,jeansjacke-aus-softem-lyocell-02.jpg,https://pic.gerryweber.com/static/i/14_630023-21230_7010_02/pdmain/jeansjacke-aus-softem-lyocell-02.jpg,Jacken
631001-21920_8100,Blazer aus Velourslederimitat,navy,99.99,gerry weber,blazer-aus-velourslederimitat-01.jpg,https://pic.gerryweber.com/static/i/14_631001-21920_8100_01/pdmain/blazer-aus-velourslederimitat-01.jpg,Jacken
631002-21920_8100,Lange Kapuzenjacke aus Velourslederimitat,navy,99.99,gerry weber,lange-kapuzenjacke-aus-velourslederimitat-01.jpg,https://pic.gerryweber.com/static/i/14_631002-21920_8100_01/pdmain/lange-kapuzenjacke-aus-velourslederimitat-01.jpg,Jacken
631003-26200_8100,Sweatjacke mit Organza-Details,navy,59.99,gerry weber,sweatjacke-mit-organza-details-01.jpg,https://pic.gerryweber.com/static/i/14_631003-26200_8100_01/pdmain/sweatjacke-mit-organza-details-01.jpg,Oberteile
631004-26203_1100,Longjacke aus Scuba,black,89.99,gerry weber,longjacke-aus-scuba-01.jpg,https://pic.gerryweber.com/static/i/14_631004-26203_1100_01/pdmain/longjacke-aus-scuba-01.jpg,Jacken
631004-26203_9240,Longjacke aus Scuba,cuban sand,89.99,gerry weber,longjacke-aus-scuba-01.jpg,https://pic.gerryweber.com/static/i/14_631004-26203_9240_01/pdmain/longjacke-aus-scuba-01.jpg,Jacken
631007-21920_6330,Blazerjacke mit Veloursleder-Optik,fusion coral,79.99,gerry weber,blazerjacke-mit-veloursleder-optik-01.jpg,https://pic.gerryweber.com/static/i/14_631007-21920_6330_01/pdmain/blazerjacke-mit-veloursleder-optik-01.jpg,Jacken
631009-26221_1100,Blousonjacke mit Ripp-Struktur,black,89.99,gerry weber,blousonjacke-mit-ripp-struktur-01.jpg,https://pic.gerryweber.com/static/i/14_631009-26221_1100_01/pdmain/blousonjacke-mit-ripp-struktur-01.jpg,Jacken
631011-21920_9240,Offener Longblazer mit Velours-Touch,cuban sand,119.99,gerry weber,offener-longblazer-mit-velours-touch-01.jpg,https://pic.gerryweber.com/static/i/14_631011-21920_9240_01/pdmain/offener-longblazer-mit-velours-touch-01.jpg,Jacken
